Game_Designer	by Thomas Tang (DZ)
Online_Draw_Card_Others	$Player$ draws 1 CardIcon.
Force_Discard	Discard CardIcon ($Num1$ / $Num2$).
Ask_Discard	Discard CardIcon?
Online_Discard_Card	$Player$ discards $Card$.
Online_Discard_Card_Others	$Player$ discards 1 CardIcon.
Ask_Play	Play CardIcon?
Online_Play_Card	$Player$ plays $Card$.
Choose_One	$Card$: Choose an option.
Card_Use_Ability	$Card$: Use ability?
Online_Decline_Ability	$Player$ doesn't use $Card$.
Online_End_Turn	$Player$ ends their turn.
Confirm	Confirm
Decline	Decline
Done	Done
Pause_to_Read	A pause to let you read things.
Pause_to_Undo	Last chance to undo anything.
Game_Over	Game Over
Leave	Leave
Online_Player_Won	$Player$ has won.
Online_Tie_Game	The game is a tie.
Online_Player_Resigned	$Player$ has resigned.
Player_Score	$Player$: $Num$ TroopIcon to advance
Player_Resigned	$Player$: $Num$ TroopIcon to advance [Resigned]
Encyclopedia	Encyclopedia
Close	Close
Any	Any
Tactic	Tactic
Area	Area
Explore	Explore
Explore_Text	 +1 ScoutIcon in each Area you have 0 TroopIcon in.
Experiment	Experiment
Experiment_Text	Discard all your CardIcon, then +3 CardIcon.
March	March
March_Text	 +1 TroopIcon per Area you Control.
Plan	Plan
Plan_Text	 +1 CardIcon per Area you Control.
Rush	Rush
Rush_Text	You may discard 1 CardIcon for +1 ActionIcon.
Stockpile	Stockpile
Stockpile_Text	 +1 CoinIcon per CardIcon in your hand.
Direct	Direct
Direct_Text	 +1 ActionIcon per Area you Control.
Launch	Launch
Launch_Text	If you have 5 CardIcon or more in hand, +1 ActionIcon.
Raid	Raid
Raid_Text	 +2 CoinIcon per Area you Control.
Secure	Secure
Secure_Text	If you Control this Area while having 0 TroopIcon and/or 0 ScoutIcon in it, +2 ScoutIcon in it.
Report	Report
Report_Text	You may remove 1 ScoutIcon for +1 CardIcon.
Travel	Travel
Travel_Text	 +1 ScoutIcon, -1 ScoutIcon.
Train	Train
Train_Text	 +1 ScoutIcon per Area you Control.
Invest	Invest
Invest_Text	 +1 CoinIcon per CoinIcon you have (after paying to play this).
Balance	Balance
Balance_Text	 +1 CoinIcon per TroopIcon you have in Area 2 or 3, whichever has less.
Prepare	Prepare
Prepare_Text	If you have 2 ActionIcon or more, +1 CardIcon.
Recruit	Recruit
Recruit_Text	You may spend 1 ActionIcon for +2 ScoutIcon.
Transport	Transport
Transport_Text	You may spend 1 ActionIcon for +1 TroopIcon from this Area (if possible)
Sneak	Sneak
Sneak_Text	 +2 ScoutIcon, both in one Area that you don't Control.
Farmland	Farmland
Farmland_Text	If you Control this, +2 CoinIcon per ActionIcon you have.
Garrison	Garison
Garrison_Text	You may remove 2 ScoutIcon from here, for +1 ScoutIcon in each other Area.
Highway	Highway
Highway_Text	If you Control this, +2 TroopIcon and then -1 TroopIcon.
Village	Village
Village_Text	If you Control this, +1 ActionIcon per 2 CardIcon in your hand (round down).
Battlefield	Battlefield
Battlefield_Text	 +1 ActionIcon. If you don't Control this, -1 TroopIcon.
Hideout	Hideout
Hideout_Text	If you don't Control this, +1 ScoutIcon.
Island 	Island
Island_Text	If you have 4 TroopIcon or more here, +1 TroopIcon from Area 1.
Woods	Woods
Woods_Text	If you have 3 TroopIcon or less here, +1 Card.
Mine	Mine
Mine_Text	You may spend 1 ActionIcon, for +1 CoinIcon per TroopIcon you have here.
Pasture	Pasture
Pasture_Text	 +1 ScoutIcon here. Then remove any amount of your ScoutIcon here for +2 CoinIcon each.
Gate	Gate
Gate_Text	 +1 Card per 2 ScoutIcon you have here (round down).
